asset_id,category,variant,path,width,height,expected_width,expected_height,palette_colors,palette_limit,keyed_magenta,md5,size_ok,palette_ok
B1,background,source_fullcolor,source_fullcolor/backgrounds/B1_title.png,1280,896,1280,896,124281,,False,5b2d62bfcf6d7b5888dcbc87af22fee4,True,True
B1,background,target_fullcolor,target_fullcolor/backgrounds/B1_title.png,320,224,320,224,32369,,False,04f4bb9ccc8ff7b9eb54fe6660c83b7e,True,True
B1,background,saturn_ready,saturn_ready/backgrounds/B1_title.png,320,224,320,224,255,255,False,23b62876af613cb4b9c2b2a228fdbefb,True,True
B2,background,source_fullcolor,source_fullcolor/backgrounds/B2_game_table.png,1280,896,1280,896,88268,,False,3ad40b94e882b4c1403a8b14a8e5147e,True,True
B2,background,target_fullcolor,target_fullcolor/backgrounds/B2_game_table.png,320,224,320,224,19456,,False,2053f3926382f9c4e09f91427b48976a,True,True
B2,background,saturn_ready,saturn_ready/backgrounds/B2_game_table.png,320,224,320,224,255,255,False,3e7fdc713c77633efaadc24144681e44,True,True
B3,background,source_fullcolor,source_fullcolor/backgrounds/B3_lobby.png,1280,896,1280,896,88844,,False,ea921c040abcb47ba142db7e91d538e9,True,True
B3,background,target_fullcolor,target_fullcolor/backgrounds/B3_lobby.png,320,224,320,224,21578,,False,856df00b360c8c73e9e3931bd274a1c1,True,True
B3,background,saturn_ready,saturn_ready/backgrounds/B3_lobby.png,320,224,320,224,255,255,False,ea7f94c6c4eacaa2c2a6e544903fb9c9,True,True
B4,background,source_fullcolor,source_fullcolor/backgrounds/B4_connecting.png,1280,896,1280,896,103035,,False,3700c579ef60da560559a624e024d8b9,True,True
B4,background,target_fullcolor,target_fullcolor/backgrounds/B4_connecting.png,320,224,320,224,18741,,False,e78436f4fe1452c2e762bf1fcb67f782,True,True
B4,background,saturn_ready,saturn_ready/backgrounds/B4_connecting.png,320,224,320,224,255,255,False,db3f4419ec1f9bff90406b306e790d7f,True,True
B5,background,source_fullcolor,source_fullcolor/backgrounds/B5_victory.png,1280,896,1280,896,115094,,False,ba8fb322e6796ee096db10e4e43acf61,True,True
B5,background,target_fullcolor,target_fullcolor/backgrounds/B5_victory.png,320,224,320,224,27515,,False,49f65f5b9ef56d8c793821aa705d823b,True,True
B5,background,saturn_ready,saturn_ready/backgrounds/B5_victory.png,320,224,320,224,255,255,False,b698de64063c9c5ea39dbdf13e2d6e14,True,True
B6,background,source_fullcolor,source_fullcolor/backgrounds/B6_defeat.png,1280,896,1280,896,65486,,False,a54889726396a8cbbc208b9dc75c24c6,True,True
B6,background,target_fullcolor,target_fullcolor/backgrounds/B6_defeat.png,320,224,320,224,15452,,False,16907d0c7e348b1ff40ad598be432c4b,True,True
B6,background,saturn_ready,saturn_ready/backgrounds/B6_defeat.png,320,224,320,224,255,255,False,d9edf05a9823f6781c38320b950d64b0,True,True
B7,background,source_fullcolor,source_fullcolor/backgrounds/B7_rules.png,1280,896,1280,896,40944,,False,50c914c5008c275970c06cb4457e7e49,True,True
B7,background,target_fullcolor,target_fullcolor/backgrounds/B7_rules.png,320,224,320,224,10801,,False,dc5985d254894484f8cb05ccf54a3e92,True,True
B7,background,saturn_ready,saturn_ready/backgrounds/B7_rules.png,320,224,320,224,255,255,False,0471a273ea7631d98c49a60f4b2eee81,True,True
P_DUKE_01,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f01.png,512,768,512,768,161296,,False,39796c700c5578e9d5318ff6f1653872,True,True
P_DUKE_01,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f01.png,64,96,64,96,5776,,False,033e1b3d2d37b53ba8aa031cfaa190b4,True,True
P_DUKE_01,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f01.png,64,96,64,96,15,15,False,eec3eb7cce2906d87cb9940a52424b01,True,True
P_DUKE_02,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f02.png,512,768,512,768,160468,,False,6328990cf6e9913ff5a82295183f6690,True,True
P_DUKE_02,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f02.png,64,96,64,96,5805,,False,d61ec208fc7ca1a2b3d302d29c891c87,True,True
P_DUKE_02,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f02.png,64,96,64,96,15,15,False,882293a6344d3d91596c4fa4afe5fae5,True,True
P_DUKE_03,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f03.png,512,768,512,768,161698,,False,cba1b8bd33751decbf30e6c411a88fd5,True,True
P_DUKE_03,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f03.png,64,96,64,96,5764,,False,978ef3db86419a7cdaf90da385fe737f,True,True
P_DUKE_03,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f03.png,64,96,64,96,15,15,False,a45d2f021454313bc44289593411d56f,True,True
P_DUKE_04,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f04.png,512,768,512,768,160094,,False,2ca0ea484e500a61d73b460d9c6e95ef,True,True
P_DUKE_04,portrait_frame,target_fullcolor,target_fullcolor/portraits/duke/P_duke_f04.png,64,96,64,96,5759,,False,01d2db79522b5bb174ac7dc79a7da1d9,True,True
P_DUKE_04,portrait_frame,saturn_ready,saturn_ready/portraits/duke/P_duke_f04.png,64,96,64,96,15,15,False,e69bbf87cde4df807dceeb3d45375755,True,True
P_DUKE_05,portrait_frame,source_fullcolor,source_fullcolor/portraits/duke/P_duke_f05.png,512,768,512,768,162428,,False,6b8c80eea04e1522e89e7f09e8a1c342,True,True
